task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,max_rank,category,type,value,additionals,teamFamily
vbse008,visione1,1,1668159027304,255365.0,289275.0,811.0,2124.0,2124.0,5910.0,TEXT, LocalizedObjectAndColors,1cvan 1dvan 1evan 2cvan 2dvan 2evan 3cvan 3dvan 3evan,"{""subtype"":""position"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=or,simReorder=false""}",visione
vbse008,visione1,1,1668159028207,256268.0,289275.0,217.0,2935.0,2935.0,5854.0,TEXT,jointEmbedding,A white van driving between stone ruins,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668159028207,256268.0,289275.0,217.0,2935.0,2935.0,5854.0,TEXT,LocalizedObjectAndColors,van,"{""subtype"":""classes"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=or,simReorder=false""}",visione
vbse008,visione1,1,1668159028207,256268.0,289275.0,217.0,2935.0,2935.0,5854.0,TEXT,jointEmbedding,"stone ruins, there is a blue sky with clouds","{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=or,simReorder=false""}",visione
vbse008,visione1,1,1668159028207,256268.0,289275.0,217.0,2935.0,2935.0,5854.0,TEXT, LocalizedObjectAndColors,1cvan 1dvan 1evan 2cvan 2dvan 2evan 3cvan 3dvan 3evan,"{""subtype"":""position"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=or,simReorder=false""}",visione
vbse008,visione1,1,1668159034799,262860.0,289275.0,56.0,578.0,578.0,5971.0,TEXT,jointEmbedding,A white van driving between stone ruins,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668159034799,262860.0,289275.0,56.0,578.0,578.0,5971.0,TEXT,LocalizedObjectAndColors,van car,"{""subtype"":""classes"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=or,simReorder=false""}",visione
vbse008,visione1,1,1668159034799,262860.0,289275.0,56.0,578.0,578.0,5971.0,TEXT,jointEmbedding,"stone ruins, there is a blue sky with clouds","{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=or,simReorder=false""}",visione
vbse008,visione1,1,1668159034799,262860.0,289275.0,56.0,578.0,578.0,5971.0,TEXT, LocalizedObjectAndColors,1cvan 1dvan 1evan 2cvan 2dvan 2evan 3cvan 3dvan 3evan 1bcar 1ccar 2bcar 2ccar 3bcar 3ccar,"{""subtype"":""position"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=or,simReorder=false""}",visione
vbse009,visione1,1,1668159103872,7800.0,21393.0,10.0,10.0,10.0,10000.0,TEXT,jointEmbedding,Two men running backwards up a downwards moving escalator.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse010,visione1,1,1668159235334,8851.0,66559.0,60.0,60.0,60.0,10000.0,TEXT,jointEmbedding,People dancing and drumming on the street at night.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159650749,8557.0,,22.0,inf,22.0,10000.0,TEXT,jointEmbedding,View of a volcano with clouds moving in from the right.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159670979,28787.0,,5.0,inf,5.0,1000.0,Image,globalFeatures,04549/04549_52.jpg,"{""subtype"":""sematic video similarity (clip)"",""queryparameter"":""simReorder=false""}",visione
vbse012,visione1,1,1668159701901,59709.0,,6.0,inf,6.0,10000.0,TEXT,jointEmbedding,"View of a volcano with clouds moving in from the right, there is green","{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159723887,81695.0,,39.0,inf,39.0,10000.0,TEXT,jointEmbedding,"View of a volcano with clouds moving in from the right, blu sky","{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159743487,101295.0,,3.0,inf,3.0,1000.0,Image,globalFeatures,04292/04292_8.jpg,"{""subtype"":""sematic video similarity (clip)"",""queryparameter"":""simReorder=false""}",visione
vbse012,visione1,1,1668159748128,105936.0,,1.0,inf,11.0,1000.0,Image,globalFeatures,04086/04086_37.jpg,"{""subtype"":""sematic video similarity (clip)"",""queryparameter"":""simReorder=false""}",visione
vbse012,visione1,1,1668159774861,132669.0,,24.0,inf,24.0,5339.0,TEXT,jointEmbedding,"View of a volcano with clouds moving in from the right, blu sky","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159774861,132669.0,,24.0,inf,24.0,5339.0,TEXT,jointEmbedding,View of a volcano with clouds moving in from the right,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159780044,137852.0,,20.0,inf,20.0,5172.0,TEXT,jointEmbedding,"View of a volcano with clouds moving in from the right, blu sky","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159780044,137852.0,,20.0,inf,20.0,5172.0,TEXT,jointEmbedding,View of a volcano with clouds moving,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159834517,192325.0,,35.0,inf,35.0,2020.0,TEXT,jointEmbedding,"View of a volcano with clouds moving in from the right, blu sky","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159834517,192325.0,,35.0,inf,35.0,2020.0,TEXT,jointEmbedding,ther is samll clound on the top of a vulcano,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159855953,213761.0,,19.0,inf,19.0,2297.0,TEXT,jointEmbedding,"View of a volcano with clouds moving in from the right, blu sky","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159855953,213761.0,,19.0,inf,19.0,2297.0,TEXT,jointEmbedding,ther is samll clound on the top of a volcano,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159881184,238992.0,,52.0,inf,187.0,2237.0,TEXT,jointEmbedding,"View of a volcano with clouds moving in from the right, blu sky","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159881184,238992.0,,52.0,inf,187.0,2237.0,TEXT,jointEmbedding,ther is samll clound on the top of a volcano,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159884876,242684.0,,56.0,inf,225.0,2239.0,TEXT,jointEmbedding,"View of a volcano with clouds moving in from the right, blu sky","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159884876,242684.0,,56.0,inf,225.0,2239.0,TEXT,jointEmbedding,ther is samll clound on the top of a volcano,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159884993,242801.0,,33.0,inf,147.0,3296.0,TEXT,LocalizedObjectAndColors,* -people1,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159884993,242801.0,,33.0,inf,147.0,3296.0,TEXT,jointEmbedding,"View of a volcano with clouds moving in from the right, blu sky","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159884993,242801.0,,33.0,inf,147.0,3296.0,TEXT,jointEmbedding,ther is samll clound on the top of a volcano,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159886800,244608.0,,79.0,inf,313.0,10000.0,TEXT,LocalizedObjectAndColors,* -people1,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159886800,244608.0,,79.0,inf,313.0,10000.0,TEXT,jointEmbedding,"View of a volcano with clouds moving in from the right, blu sky","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159886800,244608.0,,79.0,inf,313.0,10000.0,TEXT,LocalizedObjectAndColors,* -people1,"{""subtype"":""classes"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159886800,244608.0,,79.0,inf,313.0,10000.0,TEXT,jointEmbedding,ther is samll clound on the top of a volcano,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159889423,247231.0,,39.0,inf,158.0,10000.0,TEXT,LocalizedObjectAndColors,* -people1,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159889423,247231.0,,39.0,inf,158.0,10000.0,TEXT,jointEmbedding,"View of a volcano with clouds moving in from the right, blu sky","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159889423,247231.0,,39.0,inf,158.0,10000.0,TEXT,LocalizedObjectAndColors,* -people1,"{""subtype"":""classes"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159889423,247231.0,,39.0,inf,158.0,10000.0,TEXT,jointEmbedding,ther is samll clound on the top of a volcano,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159896426,254234.0,,39.0,inf,39.0,10000.0,TEXT,jointEmbedding,"View of a volcano with clouds moving in from the right, blu sky","{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159903223,261031.0,,6.0,inf,6.0,10000.0,TEXT,jointEmbedding,"View of a volcano with clouds moving in from the right, blu sky, green hill","{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione1,1,1668159913956,271764.0,,1.0,inf,11.0,1000.0,Image,globalFeatures,04086/04086_37.jpg,"{""subtype"":""sematic video similarity (clip)"",""queryparameter"":""simReorder=false""}",visione
vbse013,visione1,1,1668160033416,8458.0,,4395.0,inf,inf,10000.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160084662,59704.0,,inf,inf,inf,208.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160084662,59704.0,,inf,inf,inf,208.0,TEXT,jointEmbedding,all black and a small white windows,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160104184,79226.0,,inf,inf,inf,137.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160104184,79226.0,,inf,inf,inf,137.0,TEXT,jointEmbedding,all black and a small white windows on the tight,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160134875,109917.0,,inf,inf,inf,158.0,TEXT,jointEmbedding,dark shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160134875,109917.0,,inf,inf,inf,158.0,TEXT,jointEmbedding,all black and a small white windows on the tight,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160140635,115677.0,,inf,inf,inf,174.0,TEXT,jointEmbedding,dark shots of a man on a bed,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160140635,115677.0,,inf,inf,inf,174.0,TEXT,jointEmbedding,all black and a small white windows on the tight,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160181584,156626.0,,inf,inf,inf,230.0,TEXT,jointEmbedding,dark shots of a man on a bed,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160181584,156626.0,,inf,inf,inf,230.0,TEXT,jointEmbedding,Flashing shots,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160195091,170133.0,,inf,inf,inf,213.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160195091,170133.0,,inf,inf,inf,213.0,TEXT,jointEmbedding,Flashing shots,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160201109,176151.0,,2201.0,inf,inf,5294.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160201109,176151.0,,2201.0,inf,inf,5294.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160214943,189985.0,,3085.0,inf,inf,6482.0,TEXT,LocalizedObjectAndColors,human_face,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160214943,189985.0,,3085.0,inf,inf,6482.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160214943,189985.0,,3085.0,inf,inf,6482.0,TEXT, LocalizedObjectAndColors,1chuman_face 1dhuman_face 2chuman_face 2dhuman_face 3chuman_face 3dhuman_face 4chuman_face 4dhuman_face,"{""subtype"":""position"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160214943,189985.0,,3085.0,inf,inf,6482.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160218986,194028.0,,3183.0,inf,inf,6726.0,TEXT,LocalizedObjectAndColors,human_face black,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160218986,194028.0,,3183.0,inf,inf,6726.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160218986,194028.0,,3183.0,inf,inf,6726.0,TEXT, LocalizedObjectAndColors,1chuman_face 1dhuman_face 2chuman_face 2dhuman_face 3chuman_face 3dhuman_face 4chuman_face 4dhuman_face 2ablack 2bblack 3ablack 3bblack 4ablack 4bblack,"{""subtype"":""position"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160218986,194028.0,,3183.0,inf,inf,6726.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160223900,198942.0,,3775.0,inf,inf,7102.0,TEXT,LocalizedObjectAndColors,human_face black black,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160223900,198942.0,,3775.0,inf,inf,7102.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160223900,198942.0,,3775.0,inf,inf,7102.0,TEXT, LocalizedObjectAndColors,1chuman_face 1dhuman_face 2chuman_face 2dhuman_face 3chuman_face 3dhuman_face 4chuman_face 4dhuman_face 2ablack 2bblack 3ablack 3bblack 4ablack 4bblack 1eblack 1fblack 1gblack 2eblack 2fblack 2gblack 3eblack 3fblack 3gblack 4eblack 4fblack 4gblack,"{""subtype"":""position"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160223900,198942.0,,3775.0,inf,inf,7102.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160226471,201513.0,,4001.0,inf,inf,7190.0,TEXT,LocalizedObjectAndColors,human_face black black black,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160226471,201513.0,,4001.0,inf,inf,7190.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160226471,201513.0,,4001.0,inf,inf,7190.0,TEXT, LocalizedObjectAndColors,1chuman_face 1dhuman_face 2chuman_face 2dhuman_face 3chuman_face 3dhuman_face 4chuman_face 4dhuman_face 2ablack 2bblack 3ablack 3bblack 4ablack 4bblack 1eblack 1fblack 1gblack 2eblack 2fblack 2gblack 3eblack 3fblack 3gblack 4eblack 4fblack 4gblack 3dblack 3eblack 4dblack 4eblack 5dblack 5eblack,"{""subtype"":""position"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160226471,201513.0,,4001.0,inf,inf,7190.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160228458,203500.0,,3416.0,inf,inf,6663.0,TEXT,LocalizedObjectAndColors,human_face black black black,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160228458,203500.0,,3416.0,inf,inf,6663.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160228458,203500.0,,3416.0,inf,inf,6663.0,TEXT, LocalizedObjectAndColors,1chuman_face 1dhuman_face 2chuman_face 2dhuman_face 3chuman_face 3dhuman_face 4chuman_face 4dhuman_face 2ablack 2bblack 3ablack 3bblack 4ablack 4bblack 1eblack 1fblack 1gblack 2eblack 2fblack 2gblack 3eblack 3fblack 3gblack 4eblack 4fblack 4gblack 3dblack 3eblack 4dblack 4eblack 5dblack 5eblack,"{""subtype"":""position"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160228458,203500.0,,3416.0,inf,inf,6663.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160247376,222418.0,,4003.0,inf,inf,10000.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160268571,243613.0,,3151.0,inf,inf,6366.0,TEXT,LocalizedObjectAndColors,human_face black black black,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160268571,243613.0,,3151.0,inf,inf,6366.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160268571,243613.0,,3151.0,inf,inf,6366.0,TEXT, LocalizedObjectAndColors,1chuman_face 1dhuman_face 2chuman_face 2dhuman_face 3chuman_face 3dhuman_face 4chuman_face 4dhuman_face 2ablack 2bblack 3ablack 3bblack 4ablack 4bblack 1eblack 1fblack 1gblack 2eblack 2fblack 2gblack 3eblack 3fblack 3gblack 4eblack 4fblack 4gblack 3dblack 3eblack 4dblack 4eblack 5dblack 5eblack,"{""subtype"":""position"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160268571,243613.0,,3151.0,inf,inf,6366.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160271834,246876.0,,3145.0,inf,inf,6867.0,TEXT,LocalizedObjectAndColors,human_face black black,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160271834,246876.0,,3145.0,inf,inf,6867.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160271834,246876.0,,3145.0,inf,inf,6867.0,TEXT, LocalizedObjectAndColors,1chuman_face 1dhuman_face 2chuman_face 2dhuman_face 3chuman_face 3dhuman_face 4chuman_face 4dhuman_face 2ablack 2bblack 3ablack 3bblack 4ablack 4bblack 1eblack 1fblack 1gblack 2eblack 2fblack 2gblack 3eblack 3fblack 3gblack 4eblack 4fblack 4gblack,"{""subtype"":""position"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160271834,246876.0,,3145.0,inf,inf,6867.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160275058,250100.0,,2923.0,inf,inf,6709.0,TEXT,LocalizedObjectAndColors,human_face black,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160275058,250100.0,,2923.0,inf,inf,6709.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160275058,250100.0,,2923.0,inf,inf,6709.0,TEXT, LocalizedObjectAndColors,1chuman_face 1dhuman_face 2chuman_face 2dhuman_face 3chuman_face 3dhuman_face 4chuman_face 4dhuman_face 2ablack 2bblack 3ablack 3bblack 4ablack 4bblack,"{""subtype"":""position"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160275058,250100.0,,2923.0,inf,inf,6709.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160281240,256282.0,,3757.0,inf,inf,6996.0,TEXT,LocalizedObjectAndColors,human_face,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160281240,256282.0,,3757.0,inf,inf,6996.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160281240,256282.0,,3757.0,inf,inf,6996.0,TEXT, LocalizedObjectAndColors,1chuman_face 1dhuman_face 2chuman_face 2dhuman_face 3chuman_face 3dhuman_face 4chuman_face 4dhuman_face,"{""subtype"":""position"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160281240,256282.0,,3757.0,inf,inf,6996.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160288447,263489.0,,2337.0,inf,inf,6581.0,TEXT,LocalizedObjectAndColors,human_face,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160288447,263489.0,,2337.0,inf,inf,6581.0,TEXT,jointEmbedding,"Flashing shots of a man on a bed and in front of a wall, dark","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160288447,263489.0,,2337.0,inf,inf,6581.0,TEXT, LocalizedObjectAndColors,1chuman_face 1dhuman_face 2chuman_face 2dhuman_face 3chuman_face 3dhuman_face 4chuman_face 4dhuman_face,"{""subtype"":""position"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160288447,263489.0,,2337.0,inf,inf,6581.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160299258,274300.0,,2453.0,inf,inf,6580.0,TEXT,LocalizedObjectAndColors,human_face,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160299258,274300.0,,2453.0,inf,inf,6580.0,TEXT,jointEmbedding,"Flashing shots of a man on a bed and in front of a wall, dark","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160299258,274300.0,,2453.0,inf,inf,6580.0,TEXT, LocalizedObjectAndColors,1chuman_face 1dhuman_face 2chuman_face 2dhuman_face 3chuman_face 3dhuman_face 4chuman_face 4dhuman_face,"{""subtype"":""position"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160299258,274300.0,,2453.0,inf,inf,6580.0,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse013,visione1,1,1668160310073,285115.0,,166.0,inf,inf,6872.0,TEXT,LocalizedObjectAndColors,human_face black,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
